Folder,New name,Original name,Duplicates removed,Duplicate file names
US,US CAROTIDS_4.txt,CAROTIDS_4.txt,3,CAROTIDS_5.txt; CAROTIDS_6.txt; CAROTIDS_8.txt
US,US Carotids_7.txt,Carotids_7.txt,0,
US,US Carotids_9.txt,Carotids_9.txt,0,
US,US DVT upper.txt,DVT upper.txt,2,DVT upper_2.txt; DVT upper_3.txt
US,US DVT.txt,DVT.txt,0,
US,US DVT_2.txt,DVT_2.txt,4,DVT_4.txt; DVT_5.txt; DVT_6.txt; DVT_7.txt
US,US DVT_3.txt,DVT_3.txt,0,
US,US LIVER.txt,LIVER.txt,0,
US,US NECK (S).txt,NECK (S).txt,0,
US,US NECK ST.txt,NECK ST.txt,0,
US,US NECK.txt,NECK.txt,3,NECK_10.txt; NECK_4.txt; NECK_5.txt
US,US NECK_6.txt,NECK_6.txt,0,
US,US NECK_9.txt,NECK_9.txt,0,
US,US OB (S).txt,OB (S).txt,0,
US,US OB _ 14 Weeks (S).txt,OB _ 14 Weeks (S).txt,0,
US,US OB _20 (M).txt,US OB _20 (M).txt,0,
US,US OB Greater 14  (S).txt,OB Greater 14  (S).txt,1,OB Greater 14  (S)_3.txt
US,US OB Greater 14  (S)_2.txt,OB Greater 14  (S)_2.txt,0,
US,US OB Greater 14  (S)_4.txt,OB Greater 14  (S)_4.txt,0,
US,US OB under 20 (M).txt,US OB &lt;20 (M).txt,0,
US,US OB.txt,OB.txt,0,
US,US OB2.txt,OB2.txt,2,OB2_2.txt; OB2_3.txt
US,US PELVIS TAB.txt,PELVIS TAB.txt,2,PELVIS TAB_2.txt; PELVIS TAB_3.txt
US,US PELVIS TV.txt,PELVIS TV.txt,0,
US,US PELVIS(M).txt,PELVIS(M).txt,0,
US,US PELVIS_10.txt,PELVIS_10.txt,0,
US,US PELVIS_13.txt,PELVIS_13.txt,0,
US,US PELVIS_24.txt,PELVIS_24.txt,1,PELVIS (S)_2.txt
US,US PELVIS_3.txt,PELVIS_3.txt,2,PELVIS_21.txt; PELVIS_9.txt
US,US PELVIS_5.txt,PELVIS_5.txt,0,
US,US PROSTATE.txt,PROSTATE.txt,1,PROSTATE_2.txt
US,US REFLUX (s).txt,REFLUX (s).txt,1,REFLUX (s)_2.txt
US,US Renal w_Doppler.txt,Renal w_Doppler.txt,0,
US,US RENAL.txt,RENAL.txt,4,RENAL2.txt; RENAL_7.txt; RENAL_8.txt; copy-template.txt
US,US RENAL_2.txt,RENAL_2.txt,0,
US,US RENAL_3.txt,RENAL_3.txt,2,RENAL_4.txt; RENAL_5.txt
US,US RENAL_6.txt,RENAL_6.txt,0,
US,US RENAL_9.txt,RENAL_9.txt,0,
US,US SCROTUM.txt,SCROTUM.txt,0,
US,US SCROTUM_2.txt,SCROTUM_2.txt,5,SCROTUM_6.txt; SCROTUM_7.txt; Scrotum_3.txt; Scrotum_5.txt; Scrotum_8.txt
US,US SCROTUM_4.txt,SCROTUM_4.txt,0,
US,US SUPERFICAL.txt,SUPERFICAL.txt,2,SUPERFICAL_6.txt; SUPERFICAL_7.txt
US,US SUPERFICAL_2.txt,SUPERFICAL_2.txt,2,SUPERFICAL_3.txt; SUPERFICAL_5.txt
US,US SUPERFICAL_4.txt,SUPERFICAL_4.txt,0,
US,US Superficial.txt,Superficial.txt,0,
US,US TESTICULAR.txt,TESTICULAR.txt,1,TESTICULAR (S).txt
US,US Thyroid (S).txt,Thyroid (S).txt,1,Thyroid_8.txt
US,US THYROID.txt,THYROID.txt,1,THYROID_7.txt
US,US THYROID_2.txt,THYROID_2.txt,0,
US,US THYROID_3.txt,THYROID_3.txt,1,THYROID_5.txt
US,US THYROID_4.txt,THYROID_4.txt,0,
US,US Thyroid_6.txt,Thyroid_6.txt,0,
US,US Upper DVT.txt,Upper DVT.txt,0,
US,US Venous Reflux(s).txt,Venous Reflux(s).txt,0,
XR,XR Abdomen_13.txt,Abdomen_13.txt,0,
XR,XR Abdomen_16.txt,Abdomen_16.txt,0,
XR,XR Abdomen_2.txt,Abdomen_2.txt,3,Abdomen_11.txt; Abdomen_15.txt; Abdomen_6.txt
XR,XR ANKLE_2.txt,ANKLE_2.txt,3,ANKLE_10.txt; ANKLE_4.txt; ANKLE_7.txt
XR,XR ANKLE_5.txt,ANKLE_5.txt,0,
XR,XR ANKLE_9.txt,ANKLE_9.txt,1,ankle (m)_3.txt
XR,XR Bone Survey.txt,Bone Survey.txt,0,
XR,XR Calcaneous.txt,Calcaneous.txt,0,
XR,XR Calcaneus.txt,Calcaneus.txt,0,
XR,XR Cervical spine.txt,Cervical spine.txt,0,
XR,XR CERVICAL.txt,CERVICAL.txt,3,CERVICAL_13.txt; CERVICAL_17.txt; CERVICAL_2.txt
XR,XR CERVICAL_9.txt,CERVICAL_9.txt,1,CERVICAL_10.txt
XR,XR Chest (2V).txt,Chest (2V).txt,0,
XR,XR CHEST portable.txt,CHEST portable.txt,0,
XR,XR CHEST portable_2.txt,CHEST portable_2.txt,3,CHEST portable_3.txt; CHEST portable_5.txt; CHEST portable_7.txt
XR,XR CHEST portable_4.txt,CHEST portable_4.txt,0,
XR,XR CHEST portable_6.txt,CHEST portable_6.txt,0,
XR,XR CHEST single.txt,CHEST single.txt,2,CHEST single_2.txt; CHEST single_4.txt
XR,XR Chest Single_3.txt,Chest Single_3.txt,0,
XR,XR Chest+Abdomen.txt,Chest+Abdomen.txt,1,Chest+Abdomen_2.txt
XR,XR CHEST.txt,CHEST.txt,3,CHEST_3.txt; CHEST_6.txt; CHEST_7.txt
XR,XR CHEST_2.txt,CHEST_2.txt,0,
XR,XR CHEST_4.txt,CHEST_4.txt,0,
XR,XR CHEST_5.txt,CHEST_5.txt,0,
XR,XR Clavicle (m).txt,Clavicle (m).txt,0,
XR,XR Clavicle.txt,Clavicle.txt,2,Clavicle_3.txt; Clavicle_5.txt
XR,XR Clavicle_2.txt,Clavicle_2.txt,1,Clavicle_4.txt
XR,XR DIGIT.txt,DIGIT.txt,5,DIGIT_2.txt; DIGIT_3.txt; DIGIT_4.txt; DIGIT_5.txt; DIGIT_7.txt
XR,XR ELBOW(s).txt,ELBOW(s).txt,0,
XR,XR ELBOW_2.txt,ELBOW_2.txt,3,ELBOW_6.txt; ELBOW_7.txt; ELBOW_8.txt
XR,XR ELBOW_3.txt,ELBOW_3.txt,0,
